cell_id,latitude,longitude,min_distance_to_known_deposit_km,structural_density,lineament_density,lithology_favorability,spectral_alteration_index,elevation_m,slope_deg,ndvi,ndwi,land_surface_temp_c,soil_moisture,bare_soil_index,ground_truth_probability,mineralized_target
CELL_0031,21.78632,79.83368,7.23,0.323,0.506,0.18,0.331,317.6,8.8,0.413,-0.026,40.3,0.261,0.595,0.031,0
CELL_0032,21.78632,79.84105,6.92,0.225,0.403,0.084,0.383,328.1,9.4,0.433,-0.016,35.7,0.294,0.564,0.03,0
CELL_0033,21.78632,79.84842,6.69,0.197,0.274,0.355,0.487,302.1,8.7,0.363,-0.013,38.8,0.198,0.607,0.038,0
CELL_0034,21.78632,79.85579,6.55,0.476,0.448,0.179,0.335,316.6,14.2,0.418,0.046,38.4,0.383,0.553,0.055,0
CELL_0035,21.78632,79.86316,6.52,0.291,0.411,0.407,0.277,327.4,11.2,0.423,0.012,38.0,0.364,0.602,0.06,0
CELL_0036,21.78632,79.87053,6.58,0.492,0.404,0.241,0.473,306.3,11.7,0.465,0.027,37.6,0.285,0.606,0.084,0
CELL_0037,21.78632,79.87789,6.75,0.351,0.328,0.205,0.358,307.9,10.7,0.446,-0.051,38.7,0.235,0.556,0.03,0
CELL_0038,21.78632,79.88526,7.01,0.386,0.55,0.219,0.258,308.4,12.2,0.467,0.024,38.9,0.286,0.551,0.038,0
CELL_0039,21.78632,79.89263,7.35,0.425,0.414,0.276,0.523,314.6,10.3,0.522,-0.008,39.8,0.176,0.483,0.075,0
CELL_0040,21.78632,79.9,7.76,0.226,0.225,0.321,0.202,332.8,8.2,0.383,-0.067,35.9,0.295,0.651,0.03,0
CELL_0041,21.79263,79.76,9.46,0.305,0.254,0.115,0.122,315.2,7.3,0.233,-0.023,37.5,0.325,0.737,0.03,0
CELL_0042,21.79263,79.76737,9.05,0.278,0.334,0.075,0.362,333.9,7.9,0.272,-0.053,39.2,0.343,0.773,0.03,0
CELL_0043,21.79263,79.77474,8.71,0.312,0.45,0.396,0.13,322.1,10.6,0.301,0.013,36.3,0.328,0.689,0.03,0
CELL_0044,21.79263,79.78211,8.43,0.249,0.282,0.147,0.337,311.3,10.9,0.399,-0.018,41.2,0.33,0.604,0.03,0
CELL_0045,21.79263,79.78947,8.22,0.363,0.42,0.139,0.222,323.8,12.5,0.321,-0.113,35.8,0.31,0.576,0.03,0
CELL_0046,21.79263,79.79684,8.08,0.366,0.516,0.239,0.164,327.6,9.9,0.248,0.002,34.0,0.316,0.782,0.03,0
CELL_0047,21.79263,79.80421,8.03,0.291,0.324,0.347,0.387,326.2,8.0,0.306,0.066,39.0,0.353,0.655,0.033,0
CELL_0048,21.79263,79.81158,8.07,0.397,0.337,0.135,0.456,327.0,8.1,0.348,0.027,37.3,0.331,0.66,0.03,0
CELL_0049,21.79263,79.81895,7.53,0.07,0.108,0.247,0.437,317.6,6.9,0.392,0.081,38.6,0.322,0.6,0.03,0
CELL_0050,21.79263,79.82632,7.03,0.237,0.245,0.423,0.252,320.2,10.2,0.432,0.059,38.7,0.35,0.609,0.03,0
CELL_0051,21.79263,79.83368,6.61,0.442,0.417,0.414,0.354,316.6,10.1,0.474,0.049,38.3,0.269,0.542,0.104,0
CELL_0052,21.79263,79.84105,6.26,0.19,0.194,0.171,0.424,310.4,5.6,0.38,-0.055,36.9,0.32,0.69,0.03,0
CELL_0053,21.79263,79.84842,6.01,0.2,0.278,0.181,0.458,310.6,5.0,0.439,0.057,37.6,0.298,0.569,0.03,0
CELL_0054,21.79263,79.85579,5.85,0.21,0.326,0.118,0.322,301.4,6.6,0.425,0.034,37.2,0.291,0.533,0.03,0
CELL_0055,21.79263,79.86316,5.81,0.063,0.085,0.386,0.421,322.9,4.7,0.456,-0.01,36.9,0.243,0.583,0.03,0
CELL_0056,21.79263,79.87053,5.89,0.306,0.411,0.384,0.356,307.5,9.2,0.438,-0.038,38.1,0.299,0.583,0.073,0
CELL_0057,21.79263,79.87789,6.07,0.382,0.445,0.2,0.439,325.3,7.8,0.464,0.013,36.2,0.304,0.465,0.074,0
CELL_0058,21.79263,79.88526,6.36,0.358,0.417,0.247,0.265,327.2,9.0,0.431,0.019,37.8,0.311,0.673,0.044,0
CELL_0059,21.79263,79.89263,6.73,0.379,0.394,0.308,0.352,318.2,11.1,0.476,-0.035,37.6,0.304,0.607,0.057,0
CELL_0060,21.79263,79.9,7.18,0.308,0.368,0.273,0.32,329.1,9.7,0.414,0.017,36.3,0.238,0.636,0.034,0
CELL_0061,21.79895,79.76,8.87,0.35,0.378,0.028,0.249,343.3,7.8,0.206,-0.01,36.0,0.312,0.71,0.03,0
CELL_0062,21.79895,79.76737,8.44,0.362,0.34,0.303,0.162,318.2,8.1,0.355,-0.032,40.3,0.311,0.637,0.03,0
CELL_0063,21.79895,79.77474,8.06,0.298,0.321,0.349,0.399,333.9,5.2,0.232,-0.015,35.9,0.295,0.843,0.037,0
CELL_0064,21.79895,79.78211,7.76,0.251,0.294,0.222,0.26,308.0,10.3,0.328,-0.073,38.8,0.29,0.579,0.03,0
CELL_0065,21.79895,79.78947,7.53,0.431,0.508,0.238,0.294,337.4,8.7,0.315,-0.091,34.8,0.267,0.671,0.052,0
CELL_0066,21.79895,79.79684,7.39,0.206,0.209,0.154,0.359,341.5,6.3,0.368,0.03,37.8,0.342,0.642,0.03,0
CELL_0067,21.79895,79.80421,7.33,0.438,0.474,0.251,0.338,325.0,9.9,0.317,0.031,37.2,0.394,0.693,0.055,0
CELL_0068,21.79895,79.81158,7.37,0.309,0.447,0.439,0.415,325.6,12.0,0.378,-0.025,37.6,0.288,0.654,0.08,0
CELL_0069,21.79895,79.81895,7.0,0.38,0.264,0.171,0.44,324.0,9.3,0.439,-0.056,40.3,0.338,0.488,0.034,0
CELL_0070,21.79895,79.82632,6.47,0.36,0.303,0.357,0.292,337.8,12.8,0.41,-0.055,35.9,0.296,0.611,0.059,0
CELL_0071,21.79895,79.83368,6.0,0.566,0.48,0.37,0.366,308.4,16.9,0.427,-0.045,36.6,0.283,0.563,0.165,0
CELL_0072,21.79895,79.84105,5.62,0.376,0.306,0.34,0.273,312.2,16.8,0.457,-0.11,39.8,0.294,0.579,0.059,0
CELL_0073,21.79895,79.84842,5.33,0.427,0.402,0.212,0.326,323.3,9.7,0.487,-0.067,36.2,0.325,0.533,0.075,0
CELL_0074,21.79895,79.85579,5.16,0.388,0.416,0.067,0.16,338.8,13.8,0.439,-0.055,35.9,0.288,0.597,0.033,0
CELL_0075,21.79895,79.86316,5.11,0.401,0.599,0.485,0.389,332.3,9.3,0.449,0.065,37.8,0.346,0.549,0.289,0
CELL_0076,21.79895,79.87053,5.2,0.379,0.404,0.261,0.535,336.1,9.7,0.478,-0.055,37.6,0.357,0.436,0.151,0
CELL_0077,21.79895,79.87789,5.41,0.445,0.417,0.439,0.507,325.2,7.7,0.423,0.054,37.3,0.241,0.475,0.245,0
CELL_0078,21.79895,79.88526,5.73,0.352,0.416,0.606,0.237,348.2,10.6,0.427,-0.072,35.7,0.199,0.517,0.186,0
CELL_0079,21.79895,79.89263,6.14,0.331,0.438,0.125,0.264,328.5,12.5,0.472,-0.007,37.9,0.275,0.436,0.031,0
CELL_0080,21.79895,79.9,6.63,0.221,0.297,0.408,0.383,333.3,8.4,0.43,-0.017,37.0,0.304,0.557,0.053,0
CELL_0081,21.80526,79.76,8.3,0.195,0.267,0.5,0.312,322.3,8.1,0.303,0.059,36.6,0.299,0.663,0.03,0
CELL_0082,21.80526,79.76737,7.84,0.433,0.548,0.261,0.262,322.7,14.3,0.299,-0.062,35.7,0.272,0.723,0.044,0
CELL_0083,21.80526,79.77474,7.43,0.323,0.272,0.218,0.353,329.9,9.7,0.29,0.038,35.1,0.331,0.727,0.03,0
CELL_0084,21.80526,79.78211,7.1,0.271,0.264,0.289,0.334,355.6,8.9,0.379,0.021,34.0,0.322,0.621,0.036,0
CELL_0085,21.80526,79.78947,6.85,0.373,0.154,0.527,0.424,336.1,8.4,0.382,-0.003,35.3,0.266,0.611,0.099,0
CELL_0086,21.80526,79.79684,6.69,0.312,0.324,0.159,0.192,349.4,8.3,0.272,0.055,36.5,0.33,0.758,0.03,0
CELL_0087,21.80526,79.80421,6.63,0.314,0.416,0.381,0.338,336.3,10.2,0.365,-0.027,36.0,0.269,0.635,0.073,0
CELL_0088,21.80526,79.81158,6.67,0.136,0.265,0.136,0.218,324.8,9.6,0.419,-0.044,37.6,0.23,0.641,0.03,0
CELL_0089,21.80526,79.81895,6.5,0.615,0.604,0.467,0.277,335.0,10.6,0.36,0.05,38.8,0.362,0.675,0.261,0
CELL_0090,21.80526,79.82632,5.93,0.28,0.291,0.332,0.236,357.4,9.0,0.424,-0.043,35.1,0.238,0.618,0.052,0
CELL_0091,21.80526,79.83368,5.42,0.275,0.267,0.371,0.443,335.7,11.7,0.361,-0.03,37.6,0.286,0.694,0.092,0
CELL_0092,21.80526,79.84105,4.99,0.551,0.523,0.459,0.393,351.0,16.2,0.441,-0.049,38.6,0.322,0.571,0.396,0
CELL_0093,21.80526,79.84842,4.66,0.403,0.447,0.314,0.258,325.7,8.9,0.419,-0.022,41.7,0.312,0.609,0.112,0
CELL_0094,21.80526,79.85579,4.46,0.259,0.237,0.483,0.221,354.8,12.1,0.461,-0.045,35.9,0.283,0.61,0.109,0
CELL_0095,21.80526,79.86316,4.41,0.419,0.328,0.463,0.461,330.5,10.6,0.51,-0.005,37.3,0.322,0.599,0.263,0
CELL_0096,21.80526,79.87053,4.51,0.338,0.349,0.17,0.381,332.4,11.3,0.383,-0.006,38.5,0.33,0.617,0.075,0
CELL_0097,21.80526,79.87789,4.75,0.231,0.145,0.351,0.304,331.5,11.1,0.442,-0.015,35.7,0.256,0.565,0.05,0
CELL_0098,21.80526,79.88526,5.11,0.238,0.065,0.302,0.265,336.8,9.6,0.473,0.035,37.0,0.297,0.441,0.031,0
CELL_0099,21.80526,79.89263,5.57,0.406,0.346,0.253,0.369,314.0,11.1,0.433,-0.053,38.7,0.258,0.536,0.069,0
CELL_0100,21.80526,79.9,6.1,0.456,0.408,0.191,0.472,337.8,12.9,0.437,-0.072,35.2,0.266,0.528,0.1,0
CELL_0101,21.81158,79.76,7.75,0.398,0.279,0.02,0.373,338.4,11.1,0.237,0.008,37.0,0.363,0.706,0.03,0
CELL_0102,21.81158,79.76737,7.25,0.404,0.384,0.234,0.106,345.3,6.8,0.296,0.017,35.8,0.233,0.692,0.03,0
CELL_0103,21.81158,79.77474,6.82,0.425,0.438,0.397,0.27,346.1,10.8,0.358,-0.046,38.5,0.236,0.677,0.096,0
CELL_0104,21.81158,79.78211,6.45,0.498,0.501,0.313,0.305,337.5,11.4,0.298,0.023,38.0,0.291,0.634,0.115,0
CELL_0105,21.81158,79.78947,6.18,0.41,0.392,0.172,0.195,369.7,12.7,0.307,-0.07,35.6,0.225,0.753,0.051,0
CELL_0106,21.81158,79.79684,6.0,0.375,0.447,0.197,0.246,348.1,10.5,0.36,0.059,36.7,0.284,0.686,0.055,0
CELL_0107,21.81158,79.80421,5.93,0.315,0.435,0.424,0.424,344.2,9.1,0.329,0.001,36.3,0.287,0.736,0.143,0
CELL_0108,21.81158,79.81158,5.97,0.35,0.415,0.184,0.365,344.2,10.0,0.437,-0.027,35.0,0.336,0.621,0.061,0
CELL_0109,21.81158,79.81895,6.05,0.281,0.322,0.372,0.328,339.9,8.7,0.339,0.049,36.1,0.322,0.661,0.066,0
CELL_0110,21.81158,79.82632,5.43,0.276,0.244,0.252,0.398,342.3,7.7,0.399,0.059,35.2,0.313,0.59,0.057,0
CELL_0111,21.81158,79.83368,4.86,0.415,0.383,0.408,0.37,347.5,10.9,0.363,-0.077,34.2,0.282,0.696,0.203,0
CELL_0112,21.81158,79.84105,4.38,0.47,0.387,0.465,0.513,325.3,11.2,0.326,0.013,37.5,0.321,0.746,0.346,0
CELL_0113,21.81158,79.84842,4.0,0.483,0.43,0.228,0.47,345.2,12.1,0.361,-0.044,37.9,0.285,0.692,0.244,0
CELL_0114,21.81158,79.85579,3.77,0.508,0.579,0.231,0.632,347.3,9.5,0.394,0.011,36.4,0.306,0.576,0.453,0
CELL_0115,21.81158,79.86316,3.71,0.515,0.47,0.322,0.323,336.1,14.9,0.508,-0.1,36.9,0.242,0.439,0.265,0
CELL_0116,21.81158,79.87053,3.83,0.477,0.427,0.333,0.393,333.4,14.6,0.564,-0.039,37.7,0.277,0.456,0.257,0
CELL_0117,21.81158,79.87789,4.11,0.404,0.292,0.257,0.436,323.6,9.0,0.449,0.015,37.2,0.33,0.568,0.13,0
CELL_0118,21.81158,79.88526,4.52,0.344,0.245,0.214,0.351,346.1,8.0,0.412,0.022,35.0,0.303,0.529,0.076,0
CELL_0119,21.81158,79.89263,5.03,0.414,0.347,0.237,0.306,342.0,9.5,0.462,0.037,36.7,0.387,0.466,0.088,0
CELL_0120,21.81158,79.9,5.62,0.161,0.323,0.08,0.479,328.0,9.6,0.508,-0.017,38.3,0.286,0.478,0.03,0
CELL_0121,21.81789,79.76,7.23,0.27,0.377,0.413,0.352,336.6,8.4,0.248,0.012,37.6,0.261,0.725,0.056,0
CELL_0122,21.81789,79.76737,6.69,0.387,0.436,0.267,0.412,340.2,9.9,0.247,-0.023,36.0,0.31,0.682,0.08,0
CELL_0123,21.81789,79.77474,6.21,0.39,0.418,0.359,0.172,359.5,9.0,0.31,-0.084,34.6,0.239,0.722,0.079,0
CELL_0124,21.81789,79.78211,5.81,0.6,0.682,0.466,0.361,365.9,7.2,0.304,-0.02,34.7,0.343,0.687,0.463,0
CELL_0125,21.81789,79.78947,5.51,0.459,0.415,0.283,0.231,335.0,11.9,0.331,-0.08,36.0,0.242,0.585,0.088,0
CELL_0126,21.81789,79.79684,5.31,0.319,0.337,0.331,0.493,332.3,11.4,0.316,-0.041,36.8,0.331,0.698,0.119,0
CELL_0127,21.81789,79.80421,5.23,0.52,0.486,0.28,0.355,345.4,12.1,0.289,-0.024,37.9,0.275,0.799,0.187,0
CELL_0128,21.81789,79.81158,5.28,0.371,0.356,0.325,0.349,364.6,6.1,0.345,-0.057,34.1,0.254,0.632,0.131,0
CELL_0129,21.81789,79.81895,5.45,0.393,0.448,0.321,0.497,358.0,10.6,0.368,-0.032,35.6,0.303,0.664,0.204,0
CELL_0130,21.81789,79.82632,4.97,0.416,0.469,0.02,0.308,349.1,7.2,0.404,0.077,38.1,0.389,0.542,0.06,0
CELL_0131,21.81789,79.83368,4.35,0.33,0.389,0.359,0.479,353.6,7.4,0.518,-0.028,33.4,0.329,0.501,0.221,0
CELL_0132,21.81789,79.84105,3.8,0.464,0.475,0.06,0.353,355.8,13.3,0.411,-0.055,34.9,0.278,0.672,0.137,0
CELL_0133,21.81789,79.84842,3.37,0.379,0.434,0.404,0.312,344.3,11.6,0.402,-0.058,36.8,0.214,0.439,0.256,0
CELL_0134,21.81789,79.85579,3.09,0.454,0.44,0.485,0.507,349.0,10.2,0.423,-0.022,37.5,0.326,0.514,0.539,1
CELL_0135,21.81789,79.86316,3.01,0.516,0.403,0.437,0.37,342.4,12.9,0.454,-0.126,35.5,0.256,0.45,0.423,0
CELL_0136,21.81789,79.87053,3.15,0.462,0.528,0.464,0.351,338.5,13.7,0.473,-0.072,34.6,0.293,0.545,0.431,0
CELL_0137,21.81789,79.87789,3.49,0.415,0.57,0.3,0.273,335.6,10.8,0.393,0.024,38.9,0.262,0.675,0.217,0
CELL_0138,21.81789,79.88526,3.96,0.455,0.605,0.289,0.385,347.5,13.3,0.4,-0.047,37.7,0.295,0.642,0.298,0
CELL_0139,21.81789,79.89263,4.54,0.574,0.458,0.596,0.392,347.5,12.3,0.427,0.031,37.5,0.298,0.565,0.53,1
CELL_0140,21.81789,79.9,5.18,0.386,0.458,0.407,0.341,343.0,11.4,0.415,-0.108,38.3,0.275,0.627,0.174,0
CELL_0141,21.82421,79.76,6.74,0.314,0.312,0.31,0.256,339.6,8.4,0.177,-0.037,36.5,0.288,0.937,0.038,0
CELL_0142,21.82421,79.76737,6.16,0.084,0.06,0.399,0.569,357.5,8.5,0.274,-0.0,39.6,0.312,0.769,0.052,0
CELL_0143,21.82421,79.77474,5.64,0.312,0.294,0.369,0.531,350.3,8.0,0.297,-0.01,36.8,0.315,0.683,0.141,0
CELL_0144,21.82421,79.78211,5.19,0.462,0.327,0.331,0.375,348.2,12.8,0.285,-0.176,38.0,0.261,0.815,0.155,0
CELL_0145,21.82421,79.78947,4.84,0.39,0.312,0.292,0.498,360.0,13.5,0.217,-0.108,35.5,0.257,0.743,0.182,0
CELL_0146,21.82421,79.79684,4.62,0.486,0.57,0.532,0.421,357.6,14.1,0.285,-0.073,36.2,0.27,0.744,0.499,0
CELL_0147,21.82421,79.80421,4.53,0.498,0.467,0.375,0.384,359.0,13.1,0.284,-0.014,38.0,0.244,0.772,0.314,0
CELL_0148,21.82421,79.81158,4.59,0.417,0.33,0.533,0.365,350.6,10.5,0.335,-0.075,39.4,0.289,0.67,0.286,0
CELL_0149,21.82421,79.81895,4.79,0.441,0.394,0.388,0.442,353.6,12.1,0.362,-0.044,34.2,0.26,0.622,0.261,0
CELL_0150,21.82421,79.82632,4.58,0.559,0.462,0.557,0.236,357.8,13.0,0.345,-0.049,35.7,0.278,0.749,0.401,0
CELL_0151,21.82421,79.83368,3.9,0.371,0.265,0.671,0.296,360.0,10.3,0.446,0.009,34.6,0.326,0.555,0.361,0
CELL_0152,21.82421,79.84105,3.28,0.456,0.538,0.523,0.445,355.6,13.1,0.463,-0.027,36.1,0.264,0.489,0.579,1
CELL_0153,21.82421,79.84842,2.76,0.746,0.888,0.487,0.556,342.0,16.8,0.352,-0.037,36.8,0.244,0.682,0.898,1
CELL_0154,21.82421,79.85579,2.41,0.551,0.539,0.418,0.634,339.5,12.3,0.484,0.031,36.6,0.306,0.495,0.717,1
CELL_0155,21.82421,79.86316,2.31,0.593,0.596,0.417,0.455,353.1,11.2,0.465,-0.036,34.9,0.225,0.505,0.699,1
CELL_0156,21.82421,79.87053,2.49,0.48,0.544,0.412,0.52,353.9,12.3,0.502,-0.032,37.8,0.279,0.491,0.62,1
CELL_0157,21.82421,79.87789,2.9,0.704,0.678,0.261,0.535,369.0,16.0,0.381,-0.076,35.5,0.224,0.656,0.729,1
CELL_0158,21.82421,79.88526,3.46,0.46,0.409,0.337,0.532,363.1,11.8,0.489,-0.035,36.2,0.245,0.48,0.42,0
CELL_0159,21.82421,79.89263,4.11,0.342,0.303,0.454,0.387,342.0,8.7,0.468,-0.003,37.5,0.201,0.581,0.207,0
CELL_0160,21.82421,79.9,4.81,0.246,0.45,0.18,0.47,347.9,10.1,0.423,-0.022,35.9,0.253,0.609,0.094,0
CELL_0161,21.83053,79.76,6.29,0.594,0.509,0.369,0.439,367.9,14.3,0.209,-0.029,38.4,0.263,0.821,0.314,0
CELL_0162,21.83053,79.76737,5.66,0.299,0.251,0.411,0.285,380.1,8.9,0.246,-0.026,34.5,0.279,0.796,0.101,0
CELL_0163,21.83053,79.77474,5.09,0.305,0.239,0.478,0.491,341.4,7.4,0.316,0.029,35.1,0.392,0.664,0.173,0
CELL_0164,21.83053,79.78211,4.59,0.461,0.525,0.503,0.26,376.3,13.7,0.265,-0.017,34.4,0.311,0.755,0.37,0
CELL_0165,21.83053,79.78947,4.2,0.46,0.477,0.227,0.609,362.0,5.9,0.398,-0.003,36.4,0.262,0.691,0.349,0
CELL_0166,21.83053,79.79684,3.93,0.511,0.597,0.475,0.417,357.1,9.3,0.422,0.042,35.8,0.306,0.425,0.539,1
CELL_0167,21.83053,79.80421,3.83,0.486,0.503,0.712,0.437,368.4,12.2,0.402,-0.006,36.9,0.314,0.559,0.715,1
CELL_0168,21.83053,79.81158,3.9,0.395,0.207,0.409,0.383,345.4,9.7,0.368,-0.014,36.2,0.334,0.602,0.194,0
CELL_0169,21.83053,79.81895,4.13,0.46,0.511,0.23,0.384,331.6,12.1,0.37,0.02,38.4,0.245,0.644,0.19,0
CELL_0170,21.83053,79.82632,4.27,0.394,0.263,0.406,0.43,363.9,10.1,0.366,0.075,33.3,0.401,0.608,0.241,0
CELL_0171,21.83053,79.83368,3.53,0.453,0.288,0.157,0.122,357.8,10.1,0.44,-0.106,36.1,0.248,0.609,0.08,0
CELL_0172,21.83053,79.84105,2.83,0.57,0.739,0.48,0.535,363.6,15.0,0.453,-0.001,36.6,0.325,0.443,0.807,1
CELL_0173,21.83053,79.84842,2.2,0.426,0.509,0.784,0.487,352.9,10.8,0.388,-0.016,38.9,0.38,0.625,0.824,1
CELL_0174,21.83053,79.85579,1.75,0.476,0.459,0.745,0.636,375.3,12.1,0.355,-0.045,35.2,0.223,0.718,0.907,1
CELL_0175,21.83053,79.86316,1.61,0.61,0.466,0.697,0.583,367.6,19.0,0.458,0.006,36.8,0.366,0.487,0.914,1
CELL_0176,21.83053,79.87053,1.86,0.423,0.269,0.575,0.617,358.0,9.8,0.379,-0.058,36.1,0.293,0.655,0.702,1
CELL_0177,21.83053,79.87789,2.39,0.643,0.767,0.378,0.307,352.8,15.9,0.396,-0.031,33.9,0.299,0.524,0.683,1
CELL_0178,21.83053,79.88526,3.04,0.543,0.472,0.501,0.56,357.5,13.3,0.464,0.028,34.1,0.239,0.476,0.693,1
CELL_0179,21.83053,79.89263,3.76,0.534,0.415,0.3,0.47,370.3,10.6,0.475,-0.066,34.6,0.293,0.431,0.4,0
CELL_0180,21.83053,79.9,4.51,0.452,0.401,0.357,0.327,368.0,10.8,0.436,-0.058,34.9,0.191,0.615,0.234,0
CELL_0181,21.83684,79.76,5.89,0.223,0.357,0.459,0.444,360.4,9.7,0.273,-0.028,34.3,0.279,0.747,0.132,0
CELL_0182,21.83684,79.76737,5.22,0.319,0.238,0.364,0.495,372.9,8.6,0.241,0.078,34.5,0.316,0.758,0.162,0
CELL_0183,21.83684,79.77474,4.59,0.398,0.489,0.211,0.33,363.8,9.3,0.332,-0.003,38.9,0.216,0.668,0.147,0
CELL_0184,21.83684,79.78211,4.03,0.363,0.364,0.723,0.438,370.4,10.9,0.271,-0.092,33.5,0.343,0.798,0.56,1
CELL_0185,21.83684,79.78947,3.57,0.44,0.504,0.383,0.341,368.3,14.8,0.329,-0.05,37.4,0.264,0.731,0.364,0
CELL_0186,21.83684,79.79684,3.25,0.596,0.44,0.718,0.572,369.1,13.5,0.331,-0.043,36.9,0.237,0.668,0.852,1
CELL_0187,21.83684,79.80421,3.13,0.457,0.534,0.318,0.552,366.8,10.4,0.346,-0.002,38.0,0.301,0.707,0.516,1
CELL_0188,21.83684,79.81158,3.21,0.594,0.525,0.445,0.534,358.0,12.7,0.371,-0.04,36.5,0.307,0.593,0.681,1
CELL_0189,21.83684,79.81895,3.49,0.452,0.542,0.298,0.422,353.8,12.7,0.341,-0.118,37.3,0.29,0.757,0.348,0
CELL_0190,21.83684,79.82632,3.92,0.435,0.464,0.463,0.354,358.3,13.2,0.453,-0.079,35.9,0.302,0.627,0.364,0
CELL_0191,21.83684,79.83368,3.27,0.515,0.5,0.494,0.299,368.2,10.3,0.44,-0.067,35.7,0.292,0.575,0.513,1
CELL_0192,21.83684,79.84105,2.5,0.472,0.531,0.713,0.538,370.3,10.0,0.38,-0.005,32.7,0.258,0.621,0.846,1
