date,target_tonnage,actual_production_tonnes,shortfall_gap_tonnes,is_shortfall,rainfall_mm,soil_moisture,ambient_temp_c,ndvi,ndwi,land_surface_temp_c,excavator_ex01_avail,excavator_ex02_avail,excavator_avg_avail,active_haul_trucks,truck_avail_pct,crusher_avail_pct,blast_delay_days,haul_efficiency,shift_efficiency
2021-02-07,1783.3,1682.7,-100.6,0,0.0,0.12,30.7,0.278,-0.059,33.6,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.92
2021-02-08,1783.3,1580.6,-202.7,1,0.0,0.12,20.6,0.235,-0.044,23.5,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.91
2021-02-09,1783.3,1364.3,-419.0,1,0.0,0.12,19.5,0.231,-0.041,22.4,0.92,0.59,0.75,5,0.83,0.94,0,0.97,0.92
2021-02-10,1783.3,1618.6,-164.7,1,0.0,0.12,27.5,0.23,-0.045,30.4,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.94
2021-02-11,1783.3,1221.8,-561.5,1,0.0,0.12,28.3,0.243,-0.041,31.2,0.48,0.9,0.69,6,1.0,0.94,0,0.97,0.92
2021-02-12,1783.3,1589.1,-194.2,1,0.0,0.12,20.2,0.232,-0.073,23.1,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.91
2021-02-13,1783.3,1342.9,-440.4,1,0.0,0.12,16.8,0.272,-0.025,20.0,0.92,0.4,0.66,6,1.0,0.94,0,0.97,0.98
2021-02-14,1783.3,1479.9,-303.4,1,2.1,0.131,29.3,0.263,-0.039,32.1,0.92,0.9,0.91,5,0.83,0.94,0,0.96,0.85
2021-02-15,1783.3,1077.3,-706.0,1,0.0,0.12,27.4,0.278,-0.02,30.3,0.92,0.9,0.91,6,1.0,0.59,0,0.97,0.87
2021-02-16,1783.3,1847.9,64.6,0,0.0,0.12,24.5,0.242,-0.047,27.4,0.92,0.9,0.91,6,1.0,0.94,0,0.97,1.0
2021-02-17,1783.3,1266.0,-517.3,1,0.0,0.12,25.0,0.262,-0.094,27.9,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.94
2021-02-18,1783.3,1484.8,-298.5,1,0.0,0.12,30.9,0.245,-0.03,33.8,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.91
2021-02-19,1783.3,1150.3,-633.0,1,0.0,0.12,24.3,0.233,-0.017,27.2,0.92,0.31,0.61,5,0.83,0.94,0,0.97,0.93
2021-02-20,1783.3,1698.4,-84.9,0,0.0,0.12,25.7,0.259,-0.076,28.6,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.93
2021-02-21,1783.3,1499.9,-283.4,1,0.0,0.12,22.6,0.248,-0.022,25.5,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.83
2021-02-22,1783.3,1726.0,-57.3,0,0.0,0.12,25.9,0.275,-0.064,28.8,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.95
2021-02-23,1783.3,1742.8,-40.5,0,0.0,0.12,23.0,0.272,-0.044,25.9,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.97
2021-02-24,1783.3,1506.2,-277.1,1,0.0,0.12,25.9,0.23,-0.03,28.8,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.87
2021-02-25,1783.3,1539.8,-243.5,1,0.0,0.12,19.1,0.266,-0.073,22.0,0.92,0.9,0.91,5,0.83,0.72,0,0.97,0.97
2021-02-26,1783.3,1112.1,-671.2,1,0.0,0.12,19.2,0.258,-0.073,22.1,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.86
2021-02-27,1783.3,1570.3,-213.0,1,0.0,0.12,25.4,0.243,-0.048,28.3,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.91
2021-02-28,1783.3,1181.5,-601.8,1,0.0,0.12,21.7,0.269,-0.052,24.6,0.92,0.35,0.63,6,1.0,0.94,0,0.97,0.89
2021-03-01,1783.3,1333.6,-449.7,1,1.9,0.129,21.6,0.236,-0.034,24.5,0.92,0.9,0.91,4,0.67,0.94,0,0.96,0.94
2021-03-02,1783.3,1434.7,-348.6,1,0.0,0.12,23.8,0.263,-0.068,26.7,0.92,0.62,0.77,5,0.83,0.94,0,0.97,0.91
2021-03-03,1783.3,1234.4,-548.9,1,0.0,0.12,28.9,0.222,-0.047,31.8,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.89
2021-03-04,1783.3,1309.9,-473.4,1,0.0,0.12,25.2,0.291,-0.041,28.1,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.94
2021-03-05,1783.3,1615.8,-167.5,1,0.0,0.12,24.1,0.283,-0.053,27.0,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.92
2021-03-06,1783.3,1722.6,-60.7,0,0.0,0.12,21.3,0.237,-0.087,24.2,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.93
2021-03-07,1783.3,1530.7,-252.6,1,0.0,0.12,28.0,0.241,-0.044,30.9,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.88
2021-03-08,1783.3,1511.6,-271.7,1,0.0,0.12,27.6,0.287,-0.066,30.5,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.89
2021-03-09,1783.3,1218.0,-565.3,1,0.0,0.12,31.0,0.231,-0.067,33.9,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.94
2021-03-10,1783.3,1350.5,-432.8,1,0.0,0.12,23.4,0.276,-0.04,26.3,0.92,0.55,0.74,5,0.83,0.94,0,0.97,0.89
2021-03-11,1783.3,1632.8,-150.5,1,0.0,0.12,19.0,0.227,-0.028,21.9,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.91
2021-03-12,1783.3,1347.7,-435.6,1,0.0,0.12,18.4,0.262,-0.067,21.3,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.92
2021-03-13,1783.3,1666.4,-116.9,0,3.4,0.137,22.7,0.242,-0.058,25.5,0.92,0.9,0.91,6,1.0,0.94,0,0.96,0.91
2021-03-14,1783.3,1201.4,-581.9,1,0.0,0.12,29.3,0.268,-0.077,32.2,0.92,0.41,0.67,4,0.67,0.94,0,0.97,0.87
2021-03-15,1783.3,1535.1,-248.2,1,0.0,0.12,30.5,0.282,-0.039,33.4,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.85
2021-03-16,1783.3,1597.9,-185.4,1,0.0,0.12,22.0,0.231,-0.047,24.9,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.9
2021-03-17,1783.3,1645.1,-138.2,0,0.0,0.12,23.3,0.28,-0.039,26.2,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.91
2021-03-18,1783.3,1753.5,-29.8,0,0.0,0.12,15.8,0.226,-0.06,20.0,0.92,0.9,0.91,5,0.83,0.94,0,0.97,1.0
2021-03-19,1783.3,1292.8,-490.5,1,0.0,0.12,21.0,0.269,-0.038,23.9,0.92,0.48,0.7,5,0.83,0.94,0,0.97,0.87
2021-03-20,1783.3,1631.5,-151.8,1,0.0,0.12,22.8,0.276,-0.044,25.7,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.96
2021-03-21,1783.3,1320.5,-462.8,1,0.0,0.12,24.8,0.244,-0.064,27.7,0.5,0.9,0.7,6,1.0,0.64,0,0.97,0.99
2021-03-22,1783.3,1628.0,-155.3,1,0.0,0.12,21.7,0.237,-0.051,24.6,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.93
2021-03-23,1783.3,1663.5,-119.8,0,0.0,0.12,31.7,0.29,-0.038,34.6,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.93
2021-03-24,1783.3,1552.6,-230.7,1,0.0,0.12,27.8,0.286,-0.059,30.7,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.87
2021-03-25,1783.3,1756.1,-27.2,0,0.0,0.12,16.9,0.228,-0.013,20.0,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.94
2021-03-26,1783.3,1233.2,-550.1,1,0.0,0.12,22.0,0.25,-0.063,24.9,0.92,0.3,0.61,5,0.83,0.94,0,0.97,0.97
2021-03-27,1783.3,1279.3,-504.0,1,0.0,0.12,18.9,0.213,-0.073,21.8,0.92,0.9,0.91,4,0.67,0.7,0,0.97,0.94
2021-03-28,1783.3,1322.4,-460.9,1,0.0,0.12,29.0,0.245,-0.074,31.9,0.92,0.9,0.91,6,1.0,0.94,1,0.97,0.96
2021-03-29,1783.3,1530.2,-253.1,1,0.0,0.12,26.1,0.236,-0.029,29.0,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.9
2021-03-30,1783.3,1697.6,-85.7,0,0.0,0.12,21.9,0.227,-0.054,24.8,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.94
2021-03-31,1783.3,1015.2,-768.1,1,1.4,0.127,25.8,0.254,-0.023,28.6,0.61,0.9,0.76,5,0.83,0.94,1,0.96,0.9
2021-04-01,1783.3,1225.2,-558.1,1,0.0,0.12,34.5,0.283,-0.037,37.4,0.92,0.4,0.66,5,0.83,0.67,0,0.97,0.91
2021-04-02,1783.3,1781.7,-1.6,0,0.0,0.12,28.7,0.252,-0.07,31.6,0.92,0.9,0.91,5,0.83,0.94,0,0.97,1.0
2021-04-03,1783.3,1260.6,-522.7,1,0.0,0.12,33.1,0.238,-0.038,36.0,0.92,0.9,0.91,4,0.67,0.57,0,0.97,0.96
2021-04-04,1783.3,1567.3,-216.0,1,0.0,0.12,35.0,0.269,-0.045,37.9,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.92
2021-04-05,1783.3,1637.5,-145.8,0,0.0,0.12,34.4,0.278,-0.052,37.3,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.96
2021-04-06,1783.3,1348.4,-434.9,1,0.0,0.12,34.5,0.25,-0.094,37.4,0.64,0.9,0.77,6,1.0,0.94,0,0.97,0.9
2021-04-07,1783.3,1588.9,-194.4,1,0.0,0.12,31.8,0.252,-0.078,34.7,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.93
2021-04-08,1783.3,1722.3,-61.0,0,0.0,0.12,42.0,0.274,-0.031,44.9,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.9
2021-04-09,1783.3,1439.0,-344.3,1,0.0,0.12,39.8,0.267,-0.069,42.7,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.86
2021-04-10,1783.3,1527.1,-256.2,1,0.0,0.12,34.1,0.258,-0.053,37.0,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.88
2021-04-11,1783.3,1629.8,-153.5,1,0.0,0.12,41.3,0.28,-0.031,44.2,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.93
2021-04-12,1783.3,1565.0,-218.3,1,0.0,0.12,37.1,0.307,-0.041,40.0,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.91
2021-04-13,1783.3,1695.7,-87.6,0,0.0,0.12,31.5,0.258,-0.059,34.4,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.93
2021-04-14,1783.3,1560.9,-222.4,1,0.0,0.12,35.1,0.275,-0.044,38.0,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.9
2021-04-15,1783.3,1390.1,-393.2,1,0.0,0.12,29.8,0.259,-0.051,32.7,0.92,0.9,0.91,5,0.83,0.64,0,0.97,1.0
2021-04-16,1783.3,1102.6,-680.7,1,0.0,0.12,46.5,0.235,-0.07,48.0,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.8
2021-04-17,1783.3,1510.5,-272.8,1,0.0,0.12,36.7,0.276,-0.062,39.6,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.87
2021-04-18,1783.3,1606.8,-176.5,1,0.0,0.12,39.7,0.251,-0.071,42.6,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.94
2021-04-19,1783.3,1637.9,-145.4,0,0.0,0.12,35.1,0.215,-0.05,38.0,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.89
2021-04-20,1783.3,1124.6,-658.7,1,0.0,0.12,44.2,0.251,-0.069,47.1,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.8
2021-04-21,1783.3,1713.1,-70.2,0,0.0,0.12,34.4,0.234,-0.064,37.3,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.93
2021-04-22,1783.3,1662.9,-120.4,0,0.0,0.12,33.7,0.255,-0.089,36.6,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.91
2021-04-23,1783.3,1605.5,-177.8,1,0.0,0.12,40.2,0.268,-0.037,43.1,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.89
2021-04-24,1783.3,1194.7,-588.6,1,0.0,0.12,37.0,0.26,-0.059,39.9,0.92,0.9,0.91,5,0.83,0.66,0,0.97,0.9
2021-04-25,1783.3,929.9,-853.4,1,0.0,0.12,31.6,0.258,0.019,34.5,0.56,0.9,0.73,4,0.67,0.94,1,0.97,0.91
2021-04-26,1783.3,1803.7,20.4,0,0.0,0.12,34.6,0.273,-0.032,37.5,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.93
2021-04-27,1783.3,1677.3,-106.0,0,0.0,0.12,33.2,0.22,-0.042,36.1,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.97
2021-04-28,1783.3,1283.6,-499.7,1,0.0,0.12,38.7,0.245,-0.073,41.6,0.92,0.38,0.65,6,1.0,0.94,0,0.97,0.92
2021-04-29,1783.3,1257.6,-525.7,1,0.0,0.12,36.3,0.247,-0.069,39.2,0.92,0.9,0.91,6,1.0,0.94,1,0.97,0.93
2021-04-30,1783.3,1046.7,-736.6,1,0.0,0.12,43.1,0.25,-0.057,46.0,0.42,0.9,0.66,6,1.0,0.94,0,0.97,0.85
2021-05-01,1783.3,1749.7,-33.6,0,1.0,0.125,30.8,0.251,-0.069,33.7,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.95
2021-05-02,1783.3,1561.2,-222.1,1,0.2,0.121,29.2,0.218,-0.035,32.1,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.89
2021-05-03,1783.3,1645.4,-137.9,0,0.0,0.12,40.7,0.231,-0.054,43.6,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.92
2021-05-04,1783.3,1800.7,17.4,0,0.0,0.12,39.8,0.216,-0.03,42.7,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.93
2021-05-05,1783.3,1313.4,-469.9,1,0.0,0.12,39.0,0.239,-0.065,41.9,0.56,0.9,0.73,4,0.67,0.94,0,0.97,0.92
2021-05-06,1783.3,1114.1,-669.2,1,0.0,0.12,30.9,0.258,-0.072,33.8,0.92,0.9,0.91,6,1.0,0.62,0,0.97,0.88
2021-05-07,1783.3,1375.6,-407.7,1,0.2,0.121,43.2,0.258,-0.054,46.1,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.76
2021-05-08,1783.3,1230.9,-552.4,1,0.0,0.12,28.4,0.232,-0.058,31.3,0.92,0.35,0.63,5,0.83,0.94,0,0.97,0.95
2021-05-09,1783.3,1481.4,-301.9,1,0.0,0.12,28.9,0.259,-0.06,31.8,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.87
2021-05-10,1783.3,1278.7,-504.6,1,0.0,0.12,35.8,0.282,-0.039,38.7,0.92,0.9,0.91,5,0.83,0.94,1,0.97,0.98
2021-05-11,1783.3,1096.0,-687.3,1,0.0,0.12,28.8,0.257,-0.023,31.7,0.92,0.9,0.91,5,0.83,0.94,1,0.97,0.84
2021-05-12,1783.3,1449.4,-333.9,1,0.0,0.12,42.0,0.271,-0.045,44.9,0.92,0.63,0.78,5,0.83,0.94,0,0.97,0.9
2021-05-13,1783.3,1309.4,-473.9,1,0.0,0.12,29.7,0.235,-0.058,32.6,0.92,0.9,0.91,4,0.67,0.94,0,0.97,0.91
2021-05-14,1783.3,1682.6,-100.7,0,0.9,0.124,34.3,0.209,-0.042,37.2,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.91
2021-05-15,1783.3,1383.5,-399.8,1,0.0,0.12,39.1,0.272,-0.052,42.0,0.68,0.9,0.79,5,0.83,0.94,0,0.97,0.85
2021-05-16,1783.3,1484.1,-299.2,1,0.0,0.12,45.0,0.24,-0.083,47.9,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.87
2021-05-17,1783.3,838.6,-944.7,1,0.0,0.12,41.3,0.247,-0.082,44.2,0.47,0.9,0.68,5,0.83,0.94,1,0.97,0.93
2021-05-18,1783.3,1160.2,-623.1,1,0.0,0.12,43.3,0.245,-0.054,46.2,0.92,0.5,0.71,6,1.0,0.94,0,0.97,0.81
2021-05-19,1783.3,1590.4,-192.9,1,0.0,0.12,33.8,0.245,-0.059,36.7,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.88
2021-05-20,1783.3,1488.8,-294.5,1,0.0,0.12,44.3,0.246,-0.024,47.2,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.84
2021-05-21,1783.3,1633.8,-149.5,0,0.0,0.12,36.2,0.258,-0.039,39.1,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.95
2021-05-22,1783.3,1480.4,-302.9,1,0.0,0.12,38.0,0.287,-0.03,40.9,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.85
2021-05-23,1783.3,1215.0,-568.3,1,0.0,0.12,32.5,0.271,-0.041,35.4,0.92,0.9,0.91,5,0.83,0.94,1,0.97,0.93
2021-05-24,1783.3,1464.3,-319.0,1,0.0,0.12,30.5,0.278,-0.052,33.4,0.92,0.6,0.76,5,0.83,0.94,0,0.97,0.97
2021-05-25,1783.3,1637.6,-145.7,0,0.0,0.12,40.5,0.241,-0.031,43.4,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.91
2021-05-26,1783.3,1658.6,-124.7,0,0.0,0.12,35.6,0.26,-0.083,38.5,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.96
2021-05-27,1783.3,1597.4,-185.9,1,0.0,0.12,33.2,0.262,-0.07,36.1,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.91
2021-05-28,1783.3,1834.2,50.9,0,0.0,0.12,36.8,0.25,-0.069,39.7,0.92,0.9,0.91,6,1.0,0.94,0,0.97,1.0
2021-05-29,1783.3,1020.8,-762.5,1,0.0,0.12,39.9,0.259,-0.067,42.8,0.92,0.9,0.91,4,0.67,0.69,1,0.97,0.93
2021-05-30,1783.3,1514.0,-269.3,1,0.0,0.12,28.6,0.227,-0.029,31.5,0.92,0.9,0.91,5,0.83,0.94,0,0.97,0.87
2021-05-31,1783.3,1824.6,41.3,0,0.0,0.12,33.9,0.234,-0.056,36.8,0.92,0.9,0.91,6,1.0,0.94,0,0.97,0.96
2021-06-01,1683.3,1734.8,51.5,0,0.8,0.356,27.9,0.58,0.078,29.6,0.92,0.9,0.91,6,1.0,0.94,0,0.9,0.96
2021-06-02,1683.3,1415.7,-267.6,1,20.2,0.495,26.4,0.604,0.113,27.4,0.92,0.9,0.91,5,0.83,0.94,0,0.86,0.92
2021-06-03,1683.3,1418.2,-265.1,1,12.9,0.442,30.0,0.556,0.1,31.3,0.92,0.9,0.91,5,0.83,0.94,0,0.88,0.88
2021-06-04,1683.3,1341.4,-341.9,1,13.5,0.446,30.3,0.607,0.102,31.6,0.55,0.9,0.72,5,0.83,0.68,0,0.88,0.86
2021-06-05,1683.3,1674.4,-8.9,0,0.5,0.354,28.6,0.578,0.043,30.3,0.92,0.9,0.91,6,1.0,0.94,0,0.9,0.94
2021-06-06,1683.3,1198.5,-484.8,1,9.1,0.415,29.8,0.569,0.053,31.3,0.92,0.9,0.91,5,0.83,0.61,0,0.88,0.94
2021-06-07,1683.3,1500.2,-183.1,1,29.0,0.557,27.9,0.562,0.089,28.6,0.92,0.9,0.91,5,0.83,0.94,0,0.84,0.94
2021-06-08,1683.3,411.0,-1272.3,1,100.8,0.95,26.9,0.622,0.288,25.7,0.92,0.9,0.91,6,1.0,0.94,3,0.58,0.92
2021-06-09,1683.3,578.3,-1105.0,1,90.9,0.95,33.1,0.596,0.273,31.9,0.92,0.9,0.91,4,0.67,0.94,1,0.58,0.94
2021-06-10,1683.3,1468.2,-215.1,1,3.9,0.378,24.1,0.585,0.078,25.8,0.92,0.9,0.91,5,0.83,0.94,0,0.89,0.94
2021-06-11,1683.3,1151.7,-531.6,1,25.8,0.534,22.9,0.59,0.112,23.7,0.92,0.36,0.64,4,0.67,0.94,0,0.85,0.94
2021-06-12,1683.3,1293.3,-390.0,1,6.2,0.394,26.1,0.587,0.084,27.6,0.92,0.9,0.91,6,1.0,0.66,0,0.89,0.86
2021-06-13,1683.3,1266.0,-417.3,1,3.7,0.377,21.8,0.589,0.021,23.5,0.92,0.9,0.91,4,0.67,0.94,0,0.89,0.92
2021-06-14,1683.3,1320.4,-362.9,1,24.0,0.521,29.7,0.618,0.127,30.6,0.92,0.9,0.91,6,1.0,0.94,1,0.85,0.92
2021-06-15,1683.3,1540.8,-142.5,0,1.8,0.363,30.7,0.576,0.059,32.3,0.92,0.9,0.91,5,0.83,0.94,0,0.9,0.93
2021-06-16,1683.3,1506.2,-177.1,1,9.3,0.416,28.2,0.579,0.083,29.7,0.92,0.9,0.91,6,1.0,0.94,0,0.88,0.88
2021-06-17,1683.3,1236.6,-446.7,1,18.1,0.479,28.7,0.571,0.088,29.8,0.92,0.42,0.67,6,1.0,0.94,0,0.87,0.91
2021-06-18,1683.3,1235.0,-448.3,1,1.5,0.361,27.5,0.599,0.05,29.2,0.92,0.9,0.91,4,0.67,0.94,0,0.9,0.94
